NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.12,0.10,0.10,0.12,0.12
4,0.36,0.34,0.36,0.35,0.34
8,0.46,0.47,0.46,0.48,0.48
16,0.68,0.68,0.70,0.70,0.64
32,1.16,1.16,1.21,1.16,1.16
64,2.25,2.29,2.60,2.57,2.52
