NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.04,0.04,0.04,0.04,0.04
4,0.02,0.02,0.02,0.02,0.02
8,0.01,0.01,0.01,0.01,0.01
16,0.01,0.01,0.01,0.01,0.01
32,0.01,0.01,0.01,0.01,0.01
64,0.01,0.01,0.01,0.01,0.01
