NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.26,0.25,0.23,0.24,0.26
4,0.26,0.25,0.23,0.24,0.26
8,0.26,0.25,0.23,0.24,0.26
16,0.26,0.25,0.23,0.24,0.26
32,0.26,0.25,0.23,0.24,0.26
64,0.26,0.25,0.23,0.24,0.26
