NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.26,0.27,0.27,0.26,0.24
4,0.12,0.13,0.13,0.13,0.12
8,0.07,0.07,0.06,0.06,0.06
16,0.03,0.03,0.03,0.03,0.03
32,0.02,0.02,0.02,0.02,0.02
64,0.02,0.02,0.02,0.02,0.02
