NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.09,0.10,0.09,0.10,0.10
4,0.07,0.07,0.07,0.06,0.06
8,0.04,0.04,0.04,0.03,0.03
16,0.03,0.02,0.02,0.02,0.03
32,0.08,0.05,0.07,0.02,0.11
64,0.05,0.10,0.02,0.08,0.13
