NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.18,0.20,0.18,0.18,0.20
4,0.18,0.18,0.18,0.18,0.18
8,0.20,0.18,0.18,0.18,0.18
16,0.19,0.18,0.19,0.19,0.18
32,0.28,0.21,0.23,0.23,0.20
64,0.34,0.50,0.26,0.27,0.55
