NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.07,0.07,0.07,0.07,0.07
4,0.08,0.08,0.08,0.08,0.08
8,0.08,0.08,0.08,0.08,0.08
16,0.07,0.07,0.07,0.07,0.07
32,0.12,0.12,0.09,0.09,0.14
64,0.19,0.17,0.26,0.19,0.17
