NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.25,0.25,0.25,0.24,0.25
4,0.13,0.13,0.12,0.12,0.13
8,0.06,0.06,0.05,0.05,0.05
