NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,2.74,3.70,3.32,1.54,1.54
4,6.37,6.81,7.26,6.28,6.86
8,13.82,13.13,14.70,13.47,14.34
16,13.82,13.13,14.70,13.47,14.34
32,13.82,13.13,14.70,13.47,14.34
64,13.82,13.13,14.70,13.47,14.34
