NombreDeThreads,Essai1,Essai2,Essai3,Essai4,Essai5
2,0.10,0.11,0.11,0.10,0.11
4,0.11,0.11,0.11,0.12,0.11
8,0.11,0.11,0.11,0.11,0.11
16,0.12,0.12,0.11,0.12,0.11
32,0.11,0.12,0.11,0.11,0.12
64,0.11,0.12,0.12,0.12,0.12
